Arrival,Quantity,Due Date,Cyclomatic Complexity,Meshedness,Node Edge Ratio,Gamma Connectivity,Edge Density,Max weight,Min weight,Total Compatible Configurations,Total Testers,Mean Tardiness,Median Tardiness
0,13,989.1030726398583,3.0,0.2727272727272727,1.25,0.5555555555555556,0.36882259431853914,1099.003414044287,345.1015977072675,5,24,3925.368399324088,4164.871613236127
60.61925478916933,10,1115.192942452678,4.0,0.4444444444444444,1.4285714285714286,0.6666666666666666,0.49163594211330586,1178.484014602695,562.8020259485775,5,24,3079.4614516528704,3064.09054942067
153.6758591414526,5,1746.289241478268,14.0,0.6666666666666666,2.0,0.7878787878787878,0.3375322966719259,1786.6455202788452,521.1960007807904,5,24,3116.5809585450347,3110.9982142725494
223.18421548947742,7,1898.898906983906,28.0,1.12,2.8,1.0769230769230769,0.4007049322741434,1886.7034589370846,727.2350953518821,5,24,4193.213442048197,4152.42732371089
290.68538405013084,10,948.057851210384,0.0,0.0,0.8571428571428571,0.4,0.27124280169840465,762.7122284058514,470.53500828884825,5,24,4202.728341072991,4314.222483149094
387.66786315767973,19,2084.6417733635553,11.0,0.4782608695652174,1.7142857142857142,0.6666666666666666,0.26505944640783724,1928.6007739129373,563.1362040085705,5,24,3022.8194688178255,3117.447413167085
449.6543357120093,5,1484.4810699878778,10.0,0.6666666666666666,1.9,0.7916666666666666,0.4419441116931474,1199.7690753856327,472.8918787289845,5,24,3738.2788168596435,3672.2409068892503
539.4315592342903,6,1686.1923268747385,6.0,0.46153846153846156,1.5555555555555556,0.6666666666666666,0.3996249230094605,1334.1154706265302,606.6795378927201,5,24,3454.3620125914617,3440.543411627801
636.2837209774302,16,1955.4852956504596,9.0,0.6923076923076923,1.8888888888888888,0.8095238095238095,0.49624402221627006,1536.4777186341917,478.08579413696566,5,24,2662.827739879159,2680.6056452809808
727.5322504296483,17,2336.061349647605,18.0,0.782608695652174,2.2142857142857144,0.8611111111111112,0.3503341174426692,1868.0914714010235,583.0225343368118,5,24,3990.7639934162867,4030.600075952911
