Arrival,Quantity,Due Date,Cyclomatic Complexity,Meshedness,Node Edge Ratio,Gamma Connectivity,Edge Density,Max weight,Min weight,Total Compatible Configurations,Total Testers,Mean Tardiness,Median Tardiness
0,9,1902.850380554878,22.0,0.9565217391304348,2.5,0.9722222222222222,0.39316418836199046,2114.278200616531,369.7919096257833,5,22,4771.559420141432,3822.1364151775406
87.66930259230867,14,1113.740937452153,12.0,0.8,2.1,0.875,0.4853897420418526,1149.8206279100837,394.7965875549757,5,22,5866.00019421867,5061.363698752864
169.43919818571788,17,961.8410079874435,1.0,0.1111111111111111,1.0,0.4666666666666667,0.35794672713131476,899.2730329114416,508.5252449688651,5,22,9113.927888197026,9891.917438275399
267.2346317984608,6,2060.558978061829,33.0,1.32,3.1333333333333333,1.205128205128205,0.4502325218134367,2022.2753438257935,624.9501116221379,5,22,8423.495874217368,8466.877731902583
324.9826385236891,20,1005.4142143780186,2.0,0.15384615384615385,1.1111111111111112,0.47619047619047616,0.2813398009541871,792.144266340776,389.88080464293233,5,22,13982.715096308733,14749.901974091274
386.17483074409597,18,1380.79551344483,8.0,0.38095238095238093,1.5384615384615385,0.6060606060606061,0.26817513337456467,1148.0424064168262,490.2837772031618,5,22,3281.674051613445,3380.515508365641
467.10474566164595,5,1711.618227907269,11.0,0.7333333333333333,2.0,0.8333333333333334,0.4551900625531248,1434.693285346431,350.1776048724412,5,22,4826.435966659267,4932.932650248979
533.3788951818545,15,1329.9945180211603,0.0,0.0,0.8,0.4444444444444444,0.42116410627412604,944.3927915083235,517.7238146715808,5,22,2762.241620181729,2761.4456027651395
619.0256298018144,12,1644.2179439945467,5.0,0.29411764705882354,1.3636363636363635,0.5555555555555556,0.27839672035150714,1207.8831968587929,367.28724733509944,5,22,3112.749736992049,3022.934171817192
715.6066977227483,10,1756.7521339453438,4.0,0.3076923076923077,1.3333333333333333,0.5714285714285714,0.3447161088934214,1236.340117772078,479.8834081827599,5,22,5713.989762782311,5378.0663864790795
